  table_name          |      column_name       |          data_type          | character_maximum_length |               column_default               | is_nullable 
 document_embeddings_gs       | hash_subsection        | text                        |                          |                                            | YES
 document_embeddings_gs       | subsection_title       | text                        |                          |                                            | YES
 document_embeddings_gs       | subsection_number      | text                        |                          |                                            | YES
 document_embeddings_gs       | subsection_page_number | text                        |                          |                                            | YES
 document_embeddings_gs       | composite_id           | text                        |                          |                                            | YES
 document_embeddings_stratcom | id                     | text                        |                          |                                            | NO
 document_embeddings_stratcom | content                | text                        |                          |                                            | YES
 document_embeddings_stratcom | embedding              | USER-DEFINED                |                          |                                            | YES
 document_embeddings_stratcom | type                   | text                        |                          |                                            | YES
 document_embeddings_stratcom | hash_document          | text                        |                          |                                            | YES
 document_embeddings_stratcom | document_title         | text                        |                          |                                            | YES
 document_embeddings_stratcom | category               | text                        |                          |                                            | YES
 document_embeddings_stratcom | pdf_path               | text                        |                          |                                            | YES
 document_embeddings_stratcom | hash_chapter           | text                        |                          |                                            | YES
 document_embeddings_stratcom | chapter_title          | text                        |                          |                                            | YES
 document_embeddings_stratcom | chapter_number         | text                        |                          |                                            | YES
 document_embeddings_stratcom | hash_section           | text                        |                          |                                            | YES
 document_embeddings_stratcom | section_title          | text                        |                          |                                            | YES
 document_embeddings_stratcom | section_number         | text                        |                          |                                            | YES
 document_embeddings_stratcom | section_page_number    | text                        |                          |                                            | YES
 document_embeddings_stratcom | hash_subsection        | text                        |                          |                                            | YES
 document_embeddings_stratcom | subsection_title       | text                        |                          |                                            | YES
 document_embeddings_stratcom | subsection_number      | text                        |                          |                                            | YES
 document_embeddings_stratcom | subsection_page_number | text                        |                          |                                            | YES
 document_embeddings_stratcom | composite_id           | text                        |                          |                                            | YES
 feedback                     | id                     | integer                     |                          | nextval('feedback_id_seq'::regclass)       | NO
 feedback                     | question               | text                        |                          |                                            | NO
 feedback                     | answer                 | text                        |                          |                                            | NO
 feedback                     | feedback               | character varying           |                       50 |                                            | YES
 feedback                     | sources                | jsonb                       |                          |                                            | YES
 feedback                     | rouge1                 | double precision            |                          |                                            | YES
 feedback                     | rouge2                 | double precision            |                          |                                            | YES
 feedback                     | rougel                 | double precision            |                          |                                            | YES
 feedback                     | bert_p                 | double precision            |                          |                                            | YES
 feedback                     | bert_r                 | double precision            |                          |                                            | YES
